,url,code,提出者種別,上場区分,連結の有無,資本金,決算日,name,提出者名（英字）,提出者名（ヨミ）,所在地,提出者業種,証券コード,提出者法人番号
3560,3560,E05449,内国法人・組合,上場,有,1082.0,5月31日,株式会社ケイブ,"CAVE CO.,LTD",カブシキガイシャケイブ,目黒区上目黒二丁目１番地１号,情報・通信業,37600.0,2011101006189.0
3561,3561,E05450,内国法人・組合,上場,有,1133.0,5月31日,Ｓｈｉｎｗａ　Ｗｉｓｅ　Ｈｏｌｄｉｎｇｓ株式会社,"SHINWA WISE HOLDINGS CO.,LTD.",シンワワイズホールディングスカブシキガイシャ,中央区銀座七丁目４番１２号,サービス業,24370.0,7010001047124.0
3562,3562,E05452,内国法人・組合,上場,有,997.0,3月31日,株式会社省電舎ホールディングス,"SDS HOLDINGS Co.,Ltd.",カブシキガイシャショウデンシャ,港区芝大門二丁目２番１１号,建設業,17110.0,2010401082989.0
3563,3563,E05453,内国法人・組合,上場,有,733.0,12月31日,株式会社アエリア,Aeria Inc.,カブシキガイシャアエリア,港区赤坂三丁目７－１３,情報・通信業,37580.0,6010401048805.0
3564,3564,E05456,内国法人・組合,上場,有,2334.0,3月31日,株式会社ぐるなび,"Gurunavi, Inc.",カブシキガイシャグルナビ,千代田区有楽町一丁目２番２号,サービス業,24400.0,1010001034565.0
3565,3565,E05457,内国法人・組合,上場,有,1210.0,12月31日,株式会社フィスコ,FISCO Ltd.,カブシキガイシャフィスコ,岸和田市荒木町二丁目１８番１５号,情報・通信業,38070.0,5120101048252.0
3566,3566,E05458,内国法人・組合,上場,有,667.0,6月30日,ウェルネット株式会社,WELLNET CORPORATION,ウェルネットカブシキカイシャ,千代田区内幸町１丁目１番７号日比谷Ｕ－１ビル２６階,サービス業,24280.0,5010001125807.0
3567,3567,E05460,内国法人・組合,上場,有,10397.0,3月31日,株式会社ディー・エヌ・エー,"DeNA Co., Ltd",カブシキガイシャディーエヌエー,渋谷区渋谷二丁目２１番１号,サービス業,24320.0,4011001032721.0
3568,3568,E05462,内国法人・組合,上場,有,3776.0,3月31日,ＮＥＣキャピタルソリューション株式会社,NEC Capital Solutions Limited,エヌイーシーキャピタルソリューションカブシキガイシャ,港区港南二丁目１５－３,その他金融業,87930.0,8010401021784.0
3569,3569,E05463,内国法人・組合,上場,有,1298.0,3月31日,テクマトリックス株式会社,TECHMATRIX CORPORATION,テクマトリックスカブシキガイシャ,港区三田三丁目１１番２４号,情報・通信業,37620.0,4010401058467.0
3570,3570,E05464,内国法人・組合,非上場,有,419.0,3月31日,高砂丸誠エンジニアリングサービス株式会社,"Takasago Marusei Engineering Service Co., Ltd.",タカサゴマルセイエンジニアリングサービスカブシキガイシャ,渋谷区笹塚二丁目１番６号　笹塚センタービル,サービス業,,7011101020284.0
3571,3571,E05466,内国法人・組合,上場,無,431.0,3月31日,株式会社プロシップ,Pro-ship Incorporated,カブシキガイシャプロシップ,文京区後楽二丁目３番２１号,情報・通信業,37630.0,1010001073852.0
3572,3572,E05467,内国法人・組合,上場,有,701.0,12月31日,株式会社ワールドホールディングス,"WORLD HOLDINGS CO.,LTD.",カブシキカイシャワールドホールディングス,北九州市小倉北区大手町１１番２号,サービス業,24290.0,4290801004051.0
